dialect,disgust ,token,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,خايفه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,خطير,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,fear,خطر,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,متفاجئه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,متفاجئة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,متفاجئ,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,مصدومة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,مصدومه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,مصدوم,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,صدمة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,يستفز,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,تستفر,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,استفز,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,استفزاز,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,فضيحة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,فضيحه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,فضايح,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,surprise ,يفضح,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,neutral,,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,وسخ,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,وسخه,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,منفعل,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,انفعال,,,,,,,,,,,,,,,,,,,,,,,
Leva,disgust ,مقرف ,,,,,,,,,,,,,,,,,,,,,,,
Leva,disgust ,مقرفه,,,,,,,,,,,,,,,,,,,,,,,
Leva,disgust ,قرف,,,,,,,,,,,,,,,,,,,,,,,
Leva,disgust ,مئرف,,,,,,,,,,,,,,,,,,,,,,,
Leva,sad,بعيط,,,,,,,,,,,,,,,,,,,,,,,
Leva,sad,عيط ,,,,,,,,,,,,,,,,,,,,,,,
Leva,sad,اعيط,,,,,,,,,,,,,,,,,,,,,,,
Leva,sad,تعيط,,,,,,,,,,,,,,,,,,,,,,,
Leva,happy,احلا,,,,,,,,,,,,,,,,,,,,,,,
Leva,happy,حلا,,,,,,,,,,,,,,,,,,,,,,,
Leva,happy,حلوه,,,,,,,,,,,,,,,,,,,,,,,
Leva,happy,فكاهه,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,لوم,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,هبل,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,بوز,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,شو دحشك,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,شحار,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,سخط,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,ساخطه,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,ساخطة,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,ساخط,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,شحر,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry, غلطه,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,غلط,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,استفزاز,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,تافهة,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,تافهه,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,تافه,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,بالصرمايه,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,بالصرماية,,,,,,,,,,,,,,,,,,,,,,,
Leva,angry,بالشلوت,,,,,,,,,,,,,,,,,,,,,,,
